,forward_RE,forward_FC,prices_SB,production_RE,production_FC,Offshore DK2,Offshore DK1,Onshore DK2,Onshore DK1
13959,99.16,93.08341967750684,99.16,0.0588235294117647,0.0754355827213424,0.0358306188925081,0.1062176165803108,0.1012345679012345,0.1891117478510028
13960,107.62,109.65389491337756,107.62,0.1029411764705882,0.1115498052877499,0.0293159609120521,0.0984455958549222,0.0962962962962963,0.184240687679083
13961,123.1,124.41301234519386,123.1,0.0686274509803921,0.2719146715496193,0.0390879478827361,0.0846286701208981,0.091358024691358,0.1765042979942693
13962,128.99,125.63788131547592,128.99,0.0196078431372549,0.0,0.0304017372421281,0.0949913644214162,0.0851851851851851,0.1564469914040114
13963,109.23,108.02431776061078,109.23,0.0196078431372549,0.0264893773155826,0.019543973941368,0.1131260794473229,0.0802469135802469,0.1303724928366762
13964,99.08,99.82265726913448,99.08,0.1029411764705882,0.0,0.014115092290988,0.1545768566493955,0.0679012345679012,0.1051575931232091
13965,87.34,72.42368807299351,87.34,0.2058823529411764,0.0,0.017372421281216,0.2374784110535406,0.0592592592592592,0.098567335243553
13966,89.1,88.89501534748078,89.1,0.1617647058823529,0.3417691103899834,0.02171552660152,0.3808290155440414,0.0629629629629629,0.1154727793696275
13967,88.09,68.44838420814548,88.09,0.0784313725490196,0.1324579189699793,0.018458197611292,0.4689119170984456,0.0629629629629629,0.1398280802292263
13968,79.07,80.03429457035188,79.07,0.0735294117647058,0.2626501249692808,0.0293159609120521,0.575993091537133,0.0777777777777777,0.1759312320916905
13969,79.08,84.66420113914104,79.08,0.0539215686274509,0.0,0.0260586319218241,0.5768566493955095,0.0703703703703703,0.2106017191977077
13970,75.06,74.84944091148019,75.06,0.0441176470588235,0.0252177646989597,0.022801302931596,0.6347150259067358,0.0666666666666666,0.2532951289398281
13971,84.0,91.0368388563372,84.0,0.1078431372549019,0.049619179084457,0.0260586319218241,0.6286701208981001,0.0666666666666666,0.3034383954154728
13972,75.1,83.31621645343868,75.1,0.1764705882352941,0.0239477221024932,0.0314875135722041,0.6416234887737479,0.0666666666666666,0.3504297994269341
13973,68.61,75.36739621275157,10.0,0.2696078431372549,0.0,0.0445168295331161,0.6381692573402418,0.0777777777777777,0.3747851002865329
13974,67.46,67.23271668527252,67.46,0.4068627450980392,0.5287523275223239,0.0586319218241042,0.6753022452504318,0.1185185185185185,0.4194842406876791
13975,61.11,56.7968212068485,10.0,0.5392156862745098,0.4813086765226493,0.0836047774158523,0.7409326424870466,0.1592592592592592,0.4312320916905444
13976,49.09,44.84853815880545,49.09,0.5490196078431373,0.4321085754855973,0.1172638436482084,0.7892918825561313,0.2074074074074074,0.4461318051575931
13977,43.85,42.78437006979348,43.85,0.4901960784313725,0.4136632023012625,0.1302931596091205,0.8264248704663213,0.3,0.5037249283667622
13978,33.92,48.435540543392285,33.92,0.392156862745098,0.2785151151553469,0.1498371335504886,0.8333333333333334,0.3790123456790123,0.522349570200573
13979,12.07,14.582629361702208,19.5,0.3872549019607843,0.459033763627061,0.1606948968512486,0.844559585492228,0.4049382716049383,0.5077363896848137
13980,11.96,16.815674150370267,9.0,0.3578431372549019,0.4190367992725501,0.1617806731813246,0.8212435233160622,0.4333333333333333,0.5349570200573066
13981,9.09,5.383022313188422,0.89,0.4362745098039216,0.3621757379564195,0.1411509229098805,0.8100172711571675,0.4234567901234567,0.533810888252149
13982,12.1,13.478644732270809,6.0,0.4117647058823529,0.3237938174466974,0.1281216069489685,0.8307426597582038,0.3790123456790123,0.5114613180515759
13983,35.17,28.858984918461992,13.42,0.3676470588235294,0.3011017029554961,0.1216069489685124,0.8169257340241797,0.3197530864197531,0.4939828080229226
13984,62.03,68.32553614303589,50.0,0.3186274509803921,0.0911780797709155,0.1085776330076004,0.7728842832469776,0.2407407407407407,0.4570200573065902
13985,72.61,67.43060663741971,72.61,0.2352941176470588,0.3358458238601566,0.0575461454940282,0.7383419689119171,0.1876543209876543,0.4446991404011461
13986,76.85,82.19180550396277,76.85,0.1617647058823529,0.1172671132220774,0.0271444082519001,0.6459412780656304,0.1271604938271605,0.3882521489971346
13987,77.15,78.61378100430369,77.15,0.0539215686274509,0.0973987815754207,0.017372421281216,0.4758203799654577,0.0790123456790123,0.2994269340974212
13988,65.1,90.44020196433203,76.0,0.0,0.0,0.022801302931596,0.3937823834196891,0.0518518518518518,0.219484240687679
13989,55.4,57.20266810868897,34.0,0.0,0.0249624539492615,0.014115092290988,0.4196891191709844,0.0345679012345679,0.1724928366762177
13990,0.1,0.438109855137585,0.1,0.0245098039215686,0.0864036008631675,0.007600434310532,0.3618307426597582,0.0271604938271604,0.156160458452722
13991,0.0,4.03784395369201,0.0,0.1078431372549019,0.3057742895502768,0.00542888165038,0.3773747841105354,0.0259259259259259,0.1498567335243553
13992,-0.25,16.619754740681678,-5.0,0.1127450980392156,0.1169640608698946,0.0249728555917481,0.4784110535405872,0.0259259259259259,0.1925501432664756
13993,-1.1,8.517744294111816,-9.0,0.0833333333333333,0.1912836961020037,0.0347448425624321,0.5224525043177893,0.0271604938271604,0.1939828080229226
13994,-1.11,-1.854942532460289,-9.0,0.0539215686274509,0.1629275815664379,0.0271444082519001,0.616580310880829,0.0308641975308641,0.2114613180515759
