"Imbalance settlement period (UTC)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"06.01.2022 18:00 - 06.01.2022 19:00","142.00","","","","142.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 19:00 - 06.01.2022 20:00","142.00","","","","142.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 20:00 - 06.01.2022 21:00","142.00","","","","142.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 21:00 - 06.01.2022 22:00","171.31","","","","171.31","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 22:00 - 06.01.2022 23:00","154.00","","","","154.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"06.01.2022 23:00 - 07.01.2022 00:00","142.00","","","","142.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 00:00 - 07.01.2022 01:00","116.65","","","","116.65","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 01:00 - 07.01.2022 02:00","100.54","","","","100.54","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 02:00 - 07.01.2022 03:00","135.00","","","","135.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 03:00 - 07.01.2022 04:00","133.00","","","","133.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 04:00 - 07.01.2022 05:00","67.08","","","","67.08","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 05:00 - 07.01.2022 06:00","125.00","","","","125.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 06:00 - 07.01.2022 07:00","130.00","","","","130.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 07:00 - 07.01.2022 08:00","130.00","","","","130.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 08:00 - 07.01.2022 09:00","132.00","","","","132.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 09:00 - 07.01.2022 10:00","132.00","","","","132.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 10:00 - 07.01.2022 11:00","145.00","","","","145.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 11:00 - 07.01.2022 12:00","152.00","","","","152.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 12:00 - 07.01.2022 13:00","165.97","","","","165.97","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 13:00 - 07.01.2022 14:00","165.36","","","","165.36","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 14:00 - 07.01.2022 15:00","295.00","","","","295.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 15:00 - 07.01.2022 16:00","295.00","","","","295.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 16:00 - 07.01.2022 17:00","150.50","","","","150.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 17:00 - 07.01.2022 18:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 18:00 - 07.01.2022 19:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 19:00 - 07.01.2022 20:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 20:00 - 07.01.2022 21:00","144.00","","","","144.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 21:00 - 07.01.2022 22:00","144.00","","","","144.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 22:00 - 07.01.2022 23:00","149.83","","","","149.83","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2022 23:00 - 08.01.2022 00:00","153.03","","","","153.03","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 00:00 - 08.01.2022 01:00","146.08","","","","146.08","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 01:00 - 08.01.2022 02:00","123.50","","","","123.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 02:00 - 08.01.2022 03:00","124.00","","","","124.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 03:00 - 08.01.2022 04:00","125.10","","","","125.10","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 04:00 - 08.01.2022 05:00","130.50","","","","130.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2022 05:00 - 08.01.2022 06:00","124.00","","","","124.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
