,forecasts_24h
2021-01-02 13:00:00,"[0.84468568 0.92195044 0.62618262 0.43551959 0.41627175 0.42441193
 0.32430527 0.60465904 0.81691298 0.89892014 0.92782589 0.96908002
 0.96841341 0.93056269 0.95039524 0.960015   0.98430824 0.99573096
 0.92617068 0.92132584 0.90270998 0.94101731 0.86038353 0.92594903]"
2021-01-02 14:00:00,"[0.87500811 0.60479924 0.41840158 0.40410599 0.41684598 0.31933055
 0.60129589 0.81469007 0.89745573 0.92685417 0.96843559 0.96798687
 0.93028022 0.95020808 0.95989104 0.98422613 0.99567657 0.92613465
 0.92130197 0.90269417 0.94100684 0.8603766  0.92594444 0.87916918]"
2021-01-02 15:00:00,"[0.4933075  0.36761436 0.36344935 0.38795134 0.3013608  0.58948054
 0.80670231 0.89217615 0.92337609 0.96612766 0.96645629 0.92926717
 0.94953718 0.95944653 0.98393169 0.99548156 0.92600547 0.92121641
 0.90263749 0.94096929 0.86035173 0.92592797 0.87915827 0.94631705]"
2021-01-02 16:00:00,"[0.32498069 0.34402867 0.37240453 0.2903117  0.58260903 0.80218421
 0.88912169 0.92135721 0.96479767 0.96557375 0.92868188 0.9491498
 0.95918998 0.98376171 0.99536897 0.9259309  0.92116701 0.90260477
 0.94094762 0.86033738 0.92591846 0.87915197 0.94631288 0.60408522]"
2021-01-02 17:00:00,"[0.25869316 0.33353211 0.2591932  0.56049315 0.7884302  0.88007825
 0.9152434  0.96075669 0.96291164 0.9269154  0.94797829 0.95841459
 0.98324821 0.99502874 0.92570554 0.92101775 0.9025059  0.94088213
 0.860294   0.92588972 0.87913294 0.94630027 0.60407687 0.81163746]"
2021-01-02 18:00:00,"[0.26747666 0.22910332 0.53640533 0.77131102 0.86943172 0.90824317
 0.95602418 0.95978364 0.92485474 0.94661092 0.95750777 0.98264801
 0.99463125 0.92544218 0.92084331 0.90239036 0.9408056  0.8602433
 0.92585614 0.87911069 0.94628554 0.60406711 0.811631   0.91457873]"
2021-01-02 19:00:00,"[0.22252879 0.53341047 0.76891355 0.86772784 0.90718351 0.95532745
 0.95931262 0.92454341 0.94640582 0.95737167 0.98255775 0.99457151
 0.92540262 0.92081709 0.902373   0.9407941  0.86023568 0.9258511
 0.87910735 0.94628333 0.60406564 0.81163003 0.91457809 0.96296494]"
2021-01-02 20:00:00,"[0.68617173 0.83850004 0.92343385 0.94677371 0.97994884 0.9755015
 0.9354879  0.95363968 0.96213719 0.98571998 0.99666866 0.92679066
 0.92173633 0.90298205 0.94119752 0.86050288 0.92602809 0.87922459
 0.94636098 0.60411708 0.8116641  0.91460066 0.96297989 0.84474831]"
2021-01-02 21:00:00,"[0.93081929 0.96548753 0.98043891 1.00387465 0.99038112 0.94527144
 0.96025384 0.96650888 0.98859995 0.99857971 0.92805804 0.92257517
 0.90353758 0.94156559 0.86074669 0.92618957 0.87933155 0.94643184
 0.60416401 0.81169518 0.91462125 0.96299353 0.84475735 0.87695048]"
2021-01-02 22:00:00,"[0.95296214 0.97473329 0.99930713 0.98713499 0.94325265 0.95892646
 0.96561151 0.98800683 0.99818896 0.92779876 0.92240322 0.90342377
 0.94149022 0.86069675 0.92615649 0.87930964 0.94641732 0.6041544
 0.81168882 0.91461703 0.96299073 0.8447555  0.87694925 0.81217226]"
2021-01-02 23:00:00,"[0.98138594 1.00233758 0.98956095 0.94497678 0.95999871 0.96631653
 0.98848345 0.998504   0.9280063  0.92254094 0.9035151  0.94155067
 0.86073678 0.92618301 0.87932721 0.94642896 0.6041621  0.81169392
 0.91462041 0.96299297 0.84475698 0.87695024 0.81217291 0.72835597]"
2021-01-03 00:00:00,"[1.00438092 0.99049174 0.94572191 0.96052827 0.96664586 0.9887
 0.99865039 0.92810306 0.92260468 0.9035574  0.94157872 0.86075535
 0.92619531 0.87933536 0.94643436 0.60416568 0.81169629 0.91462198
 0.96299401 0.84475767 0.87695069 0.81217321 0.72835617 0.51062187]"
2021-01-03 01:00:00,"[0.98307537 0.94234357 0.95782381 0.96472381 0.98750466 0.99786444
 0.92757171 0.92225348 0.90332604 0.9414252  0.86065353 0.92612792
 0.87929073 0.94640479 0.60414609 0.81168332 0.91461339 0.96298832
 0.8447539  0.8769482  0.81217156 0.72835507 0.51062115 0.3707638 ]"
2021-01-03 02:00:00,"[0.94606654 0.95951971 0.96608143 0.98846952 0.99846449 0.92796626
 0.92252021 0.90350233 0.94154134 0.8607306  0.92617903 0.87932456
 0.94642719 0.60416093 0.81169315 0.9146199  0.96299264 0.84475676
 0.87695009 0.81217281 0.7283559  0.5106217  0.37076417 0.18463831]"
2021-01-03 03:00:00,"[0.98002938 0.97542408 0.99594858 1.00377986 0.93127192 0.92469373
 0.90497174 0.94251255 0.86137042 0.92660359 0.87960612 0.94661355
 0.60428435 0.81177492 0.91467406 0.96302851 0.84478052 0.87696583
 0.81218324 0.72836281 0.51062627 0.3707672  0.18464032 0.16915664]"
2021-01-03 04:00:00,"[0.98073962 0.99836994 1.00571822 0.93264951 0.92555046 0.90553505
 0.94289338 0.86162213 0.92676941 0.87971616 0.94668652 0.60433265
 0.8118069  0.91469526 0.96304255 0.84478982 0.87697199 0.81218732
 0.72836551 0.51062806 0.37076838 0.1846411  0.16915716 0.16105454]"
2021-01-03 05:00:00,"[1.00331414 1.00797042 0.93445246 0.92683182 0.90633193 0.94341734
 0.86197635 0.92700354 0.87987039 0.94678887 0.60440052 0.81185183
 0.91472501 0.96306226 0.84480287 0.87698064 0.81219304 0.72836931
 0.51063057 0.37077005 0.18464221 0.16915789 0.16105502 0.22241187]"
2021-01-03 06:00:00,"[1.00111181 0.93132819 0.92433075 0.90455443 0.9423119  0.86124951
 0.92651216 0.87954561 0.94657491 0.60425855 0.81175767 0.91466269
 0.96302099 0.84477553 0.87696252 0.81218105 0.72836136 0.51062531
 0.37076656 0.1846399  0.16915636 0.16105401 0.2224112  0.31334093]"
2021-01-03 07:00:00,"[0.92562104 0.921731   0.90247325 0.94083281 0.86032966 0.92590734
 0.87913673 0.94630465 0.60408051 0.81163953 0.91458434 0.96296913
 0.84474118 0.87693977 0.81216598 0.72835138 0.5106187  0.37076218
 0.184637   0.16915444 0.16105274 0.22241036 0.31334037 0.39074607]"
2021-01-03 08:00:00,"[0.95549328 0.9178528  0.95314459 0.86907962 0.931349   0.88271469
 0.94872353 0.60567929 0.81269278 0.91528323 0.96343263 0.84504796
 0.87714293 0.81230058 0.72844054 0.51067775 0.3708013  0.18466291
 0.1691716  0.1610641  0.22241789 0.31334536 0.39074937 0.3363124 ]"
2021-01-03 09:00:00,"[0.93599674 0.96140959 0.875696   0.93605125 0.88563905 0.95064633
 0.6069792  0.81355196 0.91584925 0.96380821 0.84529704 0.87730779
 0.81240976 0.72851288 0.51072567 0.37083304 0.18468393 0.16918553
 0.16107333 0.222424   0.3133494  0.39075205 0.33631418 0.17930774]"
2021-01-03 10:00:00,"[0.97436948 0.88159954 0.94077721 0.88899778 0.95273515 0.60835263
 0.81448047 0.91646295 0.96421251 0.84556532 0.87748571 0.81252752
 0.72859086 0.51077734 0.37086726 0.1847066  0.16920054 0.16108327
 0.22243058 0.31335377 0.39075494 0.33631609 0.17930901 0.08427598]"
2021-01-03 11:00:00,"[0.8821855  0.94104413 0.88921145 0.95288701 0.60844707 0.81454256
 0.91650493 0.96424026 0.8455836  0.87749784 0.81253557 0.72859619
 0.51078086 0.3708696  0.18470815 0.16920157 0.16108395 0.22243103
 0.31335406 0.39075514 0.33631622 0.1793091  0.08427604 0.03961024]"
2021-01-03 12:00:00,"[0.99495322 0.91376837 0.97254553 0.62241836 0.82323139 0.92221795
 0.96810254 0.84813641 0.87917958 0.81365151 0.72933626 0.5112707
 0.37119399 0.18492308 0.16934393 0.16117825 0.22249349 0.31339544
 0.39078254 0.33633438 0.17932112 0.084284   0.03961552 0.01862064]"
2021-01-03 13:00:00,"[0.91128115 0.97141254 0.62151137 0.8225868  0.92181708 0.96783896
 0.84795822 0.8790618  0.81357392 0.72928478 0.51123655 0.37117139
 0.18490811 0.16933402 0.16117168 0.22248914 0.31339256 0.39078063
 0.33633311 0.17932028 0.08428345 0.03961515 0.0186204  0.12869337]"
2021-01-03 14:00:00,"[1.01267226 0.64030618 0.83763259 0.9325101  0.97448902 0.85233072
 0.88201783 0.81552773 0.73057191 0.51209065 0.37173782 0.18528301
 0.1695823  0.16133618 0.2225981  0.31346472 0.39082844 0.33636478
 0.17934126 0.08429734 0.03962435 0.0186265  0.12869741 0.34420324]"
2021-01-03 15:00:00,"[0.62855478 0.83227954 0.92822483 0.97144348 0.85043668 0.88077247
 0.81468581 0.73001543 0.51172405 0.37149456 0.18512168 0.16947552
 0.16126546 0.22255125 0.31343369 0.39080788 0.33635116 0.17933224
 0.08429137 0.0396204  0.01862387 0.12869568 0.34420209 0.68322722]"
2021-01-03 16:00:00,"[1.02135933 1.0143553  1.04039343 0.89943933 0.91124752 0.83472356
 0.74356194 0.52067774 0.37739307 0.18903572 0.17207125 0.1629835
 0.22368904 0.31418754 0.39130722 0.33668189 0.17955131 0.08443648
 0.03971652 0.01868754 0.12873785 0.34423002 0.68324572 0.55568743]"
2021-01-03 17:00:00,"[0.99806197 1.03297142 0.8934978  0.90702488 0.83209747 0.74183525
 0.51951042 0.37662151 0.18852743 0.17173397 0.16275983 0.22354099
 0.31408949 0.39124226 0.33663886 0.17952281 0.0844176  0.03970401
 0.01867926 0.12873236 0.34422639 0.68324332 0.55568583 0.48787822]"
